id,views,mature,life_time,created_at,updated_at,language,affiliate
0,7879,1,969,2/16/2016,10/12/2018,EN,1
1,500,0,2699,5/19/2011,10/8/2018,EN,0
2,382502,1,3149,2/27/2010,10/12/2018,EN,1
3,386,0,1344,1/26/2015,10/1/2018,EN,0
4,2486,0,1784,11/22/2013,10/11/2018,EN,0
5,4987,1,1288,4/3/2015,10/12/2018,EN,1
6,234,0,358,9/14/2017,9/7/2018,EN,0
7,775,1,577,3/14/2017,10/12/2018,FR,0
8,69020,0,1781,11/22/2013,10/8/2018,EN,0
9,32073,0,499,5/31/2017,10/12/2018,KO,1
10,94,0,1879,8/17/2013,10/9/2018,EN,0
11,10254468,0,1715,1/31/2014,10/12/2018,EN,0
12,2178,0,908,4/16/2016,10/11/2018,JA,0
13,4871,0,449,7/19/2017,10/11/2018,EN,0
14,2002,0,1910,5/17/2013,8/9/2018,RU,0
15,33882,1,2134,12/8/2012,10/12/2018,EN,1
16,200,0,324,10/21/2017,9/10/2018,EN,0
17,11624,1,2299,6/15/2012,10/1/2018,EN,0
18,1160,0,1050,11/26/2015,10/11/2018,EN,0
19,144812,1,2175,10/28/2012,10/12/2018,EN,1
20,1885,1,2273,7/21/2012,10/11/2018,EN,1
21,52160,0,2845,12/27/2010,10/11/2018,EN,0
22,212680,1,2056,2/24/2013,10/12/2018,PL,0
23,14538,0,998,1/16/2016,10/10/2018,RU,1
24,339218,1,1868,8/31/2013,10/12/2018,EN,1
25,1025,0,1207,6/18/2015,10/7/2018,DE,0
26,9528,0,1459,10/14/2014,10/12/2018,EN,1
27,2802,1,1931,6/29/2013,10/12/2018,EN,0
28,162078,1,2149,11/23/2012,10/12/2018,DE,1
29,2585,1,861,6/2/2016,10/11/2018,FR,0
30,1370,1,1574,5/24/2014,9/14/2018,DE,0
31,4405,0,1522,8/8/2014,10/8/2018,ES,1
32,21502,0,2729,4/8/2011,9/27/2018,EN,0
33,745,0,1027,12/20/2015,10/12/2018,EN,0
34,17042,1,961,2/23/2016,10/11/2018,IT,1
35,2559,0,2066,1/21/2013,9/18/2018,EN,0
36,5950,1,3394,6/27/2009,10/12/2018,EN,1
37,8231,0,1648,4/3/2014,10/7/2018,EN,1
38,879,1,1139,8/29/2015,10/11/2018,EN,0
39,3615,1,1629,4/25/2014,10/10/2018,EN,1
40,2497,1,1020,12/27/2015,10/12/2018,EN,1
41,19442,1,2185,10/18/2012,10/12/2018,EN,0
42,8541,1,1738,1/7/2014,10/11/2018,RU,0
43,3874,0,1010,1/6/2016,10/12/2018,EN,1
44,14944,0,2081,1/13/2013,9/25/2018,EN,0
45,46546,1,411,8/27/2017,10/12/2018,EN,1
46,711,1,1948,6/10/2013,10/10/2018,EN,0
47,9273,0,1101,10/6/2015,10/11/2018,EN,1
48,1566,0,523,5/6/2017,10/11/2018,FR,1
49,5667,0,1684,2/20/2014,10/1/2018,EN,1
50,123420,0,1000,1/16/2016,10/12/2018,EN,1
51,5863,1,953,2/29/2016,10/9/2018,EN,1
52,370,0,3310,9/19/2009,10/12/2018,EN,0
53,795,1,489,5/13/2017,9/14/2018,EN,0
54,9713,0,2234,8/30/2012,10/12/2018,FR,1
55,6043,1,1034,12/13/2015,10/12/2018,EN,1
56,28380,0,2117,12/24/2012,10/11/2018,EN,1
57,256,1,1244,4/12/2015,9/7/2018,EN,0
58,8788,1,2339,5/14/2012,10/9/2018,EN,0
59,383,0,361,10/12/2017,10/8/2018,EN,0
60,856821,1,3493,3/20/2009,10/12/2018,EN,1
61,744,0,894,4/29/2016,10/10/2018,EN,0
62,1168,1,1896,7/27/2013,10/5/2018,EN,0
63,12359,1,406,9/1/2017,10/12/2018,EN,1
64,996,1,1574,6/18/2014,10/9/2018,EN,0
65,5594,1,741,10/1/2016,10/12/2018,EN,1
66,39110,1,1863,9/5/2013,10/12/2018,FR,1
